index,id,title,duration,duration_min,url,is_short_duration_le_60,categories
1,k1m_EewHQ80,💩똥싸고 나면 우다다 뛰어다니는 고양이 특징,1352.0,22.53,https://www.youtube.com/watch?v=k1m_EewHQ80,False,기타/엔터테인먼트
2,G6tWUwAGnkU,Signs That Your Cat Is Relaxed,287.0,4.78,https://www.youtube.com/watch?v=G6tWUwAGnkU,False,행동/감정
3,HUrdSF2ob5w,I'm getting a dog in my next life... Why I'm switching sides after raising cats for over 10 years,3948.0,65.8,https://www.youtube.com/watch?v=HUrdSF2ob5w,False,브이로그/서사
4,aOtBpnJokLw,"[Children's Day Special] A Legendary Episode from the ""Kitten Chaos"" Days That Even the Vet Could...",3196.0,53.27,https://www.youtube.com/watch?v=aOtBpnJokLw,False,건강/진료;브이로그/서사
5,VU8-78KuHSg,Meow Philosophy Center OPEN: We Change Your Cat's Name and Even Its Destiny,843.0,14.05,https://www.youtube.com/watch?v=VU8-78KuHSg,False,기타/엔터테인먼트
6,E0gkq3Q_Me0,Feed your cat exactly this much treats a day.,929.0,15.48,https://www.youtube.com/watch?v=E0gkq3Q_Me0,False,생활/돌봄
7,3HddCDIGQ2Y,"Someone Else's ""Cat Show-off"" Left with Only Anger, Emptiness, Envy, and Jealousy",999.0,16.65,https://www.youtube.com/watch?v=3HddCDIGQ2Y,False,행동/감정;브이로그/서사
8,NYQ2k_DzKOg,Trimming a cat's claws like this will cause trauma.,249.0,4.15,https://www.youtube.com/watch?v=NYQ2k_DzKOg,False,건강/진료
9,Pv6aPt5ll1k,"The Shocking Truth About the Appearance of the ""Emperor of the World"" Cat | Cat Breed Encyclopedi...",569.0,9.48,https://www.youtube.com/watch?v=Pv6aPt5ll1k,False,건강/진료;품종/지식
10,LBCfK8Ahf1c,A cat greeting to check how much a cat likes me,312.0,5.2,https://www.youtube.com/watch?v=LBCfK8Ahf1c,False,행동/감정
11,NW96CmZeSzI,How long do cats remember their guardians?,886.0,14.77,https://www.youtube.com/watch?v=NW96CmZeSzI,False,행동/감정;생활/돌봄
12,7E2PVTWYMIg,"If you take this test, your cat's personality will come out right away.",403.0,6.72,https://www.youtube.com/watch?v=7E2PVTWYMIg,False,행동/감정
13,PMwwKVmf-Eg,이혼소송보다 고양이 합사가 더 힘든 이유ㅣ고양식탁 조인섭 변호사 편,1719.0,28.65,https://www.youtube.com/watch?v=PMwwKVmf-Eg,False,기타/엔터테인먼트
14,xzQXd7FdzQg,Why You Shouldn't Just Go to Work as Normal,219.0,3.65,https://www.youtube.com/watch?v=xzQXd7FdzQg,False,생활/돌봄
15,ywqsep1FYpk,How is it to have a baby?,375.0,6.25,https://www.youtube.com/watch?v=ywqsep1FYpk,False,브이로그/서사
16,5AJStJPD7P0,Things You Should Never Do When Cats Fight,674.0,11.23,https://www.youtube.com/watch?v=5AJStJPD7P0,False,행동/감정
17,Vb_sCADhvC8,The psychology of pet owners who lie to their veterinarians in the clinic,697.0,11.62,https://www.youtube.com/watch?v=Vb_sCADhvC8,False,행동/감정;건강/진료
18,EAgLtHWLq4c,"When you're trying to break up a relationship, consider the cat.",838.0,13.97,https://www.youtube.com/watch?v=EAgLtHWLq4c,False,기타/엔터테인먼트
19,7tW0esJ8fig,Honest Thoughts on Missing Cats | Cat Table Detective,1625.0,27.08,https://www.youtube.com/watch?v=7tW0esJ8fig,False,기타/엔터테인먼트
20,sxyIvZVhI_M,Why You Shouldn't Leave Your Sensitive Cat Alive,661.0,11.02,https://www.youtube.com/watch?v=sxyIvZVhI_M,False,기타/엔터테인먼트
