index,id,title,duration,duration_min,url,is_short_duration_le_60,categories
1,k1m_EewHQ80,💩똥싸고 나면 우다다 뛰어다니는 고양이 특징,1352.0,22.53,https://www.youtube.com/watch?v=k1m_EewHQ80,False,행동/감정;건강/진료
2,G6tWUwAGnkU,우리 고양이가 편안하다는 증거,287.0,4.78,https://www.youtube.com/watch?v=G6tWUwAGnkU,False,행동/감정
3,HUrdSF2ob5w,다음 생엔 강아지 키울거예여...고양이만 10년 이상 키우다가 변절한 이유,3948.0,65.8,https://www.youtube.com/watch?v=HUrdSF2ob5w,False,건강/진료
4,aOtBpnJokLw,[어린이날 기념] 수의사도 어쩔수 없었던 캣초딩 시절 레전드 에피소드,3196.0,53.27,https://www.youtube.com/watch?v=aOtBpnJokLw,False,건강/진료;브이로그/서사
5,VU8-78KuHSg,"미야옹철학관 OPEN 고양이 이름, 운명까지 바꿉니다",843.0,14.05,https://www.youtube.com/watch?v=VU8-78KuHSg,False,기타/엔터테인먼트
6,E0gkq3Q_Me0,고양이 간식은 하루에 딱 이만큼만 먹이세요,929.0,15.48,https://www.youtube.com/watch?v=E0gkq3Q_Me0,False,생활/돌봄
7,3HddCDIGQ2Y,분노 공허 시기 질투만 남은 남의 《고양이 과시대회》,999.0,16.65,https://www.youtube.com/watch?v=3HddCDIGQ2Y,False,기타/엔터테인먼트
8,NYQ2k_DzKOg,고양이 발톱 이렇게 깎으면 트라우마 생깁니다,249.0,4.15,https://www.youtube.com/watch?v=NYQ2k_DzKOg,False,건강/진료
9,Pv6aPt5ll1k,외모 일황 고양이의 충격적인 실체ㅣ묘종백과 랙돌 편,569.0,9.48,https://www.youtube.com/watch?v=Pv6aPt5ll1k,False,품종/지식
10,LBCfK8Ahf1c,고양이가 나를 얼마나 좋아하는지 확인하는 고양이 인사법,312.0,5.2,https://www.youtube.com/watch?v=LBCfK8Ahf1c,False,행동/감정
11,NW96CmZeSzI,고양이는 보호자를 얼마나 오래 기억할까?,886.0,14.77,https://www.youtube.com/watch?v=NW96CmZeSzI,False,행동/감정;생활/돌봄
12,7E2PVTWYMIg,이 테스트 해보면 고양이 성격 바로 나옴,403.0,6.72,https://www.youtube.com/watch?v=7E2PVTWYMIg,False,행동/감정
13,PMwwKVmf-Eg,이혼소송보다 고양이 합사가 더 힘든 이유ㅣ고양식탁 조인섭 변호사 편,1719.0,28.65,https://www.youtube.com/watch?v=PMwwKVmf-Eg,False,행동/감정;건강/진료
14,xzQXd7FdzQg,평소와 같이 그냥 출근하면 안 되는 이유,219.0,3.65,https://www.youtube.com/watch?v=xzQXd7FdzQg,False,기타/엔터테인먼트
15,ywqsep1FYpk,아기 낳으니까 어때요?,375.0,6.25,https://www.youtube.com/watch?v=ywqsep1FYpk,False,브이로그/서사
16,5AJStJPD7P0,고양이가 싸울 때 절대 하면 안되는 행동,674.0,11.23,https://www.youtube.com/watch?v=5AJStJPD7P0,False,행동/감정
17,Vb_sCADhvC8,진료실에서 수의사에게 거짓말하는 보호자의 심리,697.0,11.62,https://www.youtube.com/watch?v=Vb_sCADhvC8,False,행동/감정;건강/진료;생활/돌봄
18,EAgLtHWLq4c,인간관계 손절할 때 고양이를 참고하세요,838.0,13.97,https://www.youtube.com/watch?v=EAgLtHWLq4c,False,기타/엔터테인먼트
19,7tW0esJ8fig,고양이 실종에 대한 솔직한 생각ㅣ고양식탁 원탐정 편,1625.0,27.08,https://www.youtube.com/watch?v=7tW0esJ8fig,False,기타/엔터테인먼트
20,sxyIvZVhI_M,예민한 고양이 이대로 두면 안되는 이유,661.0,11.02,https://www.youtube.com/watch?v=sxyIvZVhI_M,False,기타/엔터테인먼트
21,4lW99QwkLg8,이렇게 갑자기 고양이를 데려와도 될까?,1165.0,19.42,https://www.youtube.com/watch?v=4lW99QwkLg8,False,기타/엔터테인먼트
22,wQnqruAhLnA,고양이도 자리지키기 하는데 인간은 왜 안해요?,1199.0,19.98,https://www.youtube.com/watch?v=wQnqruAhLnA,False,기타/엔터테인먼트
23,-qOGsTPB8f8,한국이 이건 확실히 낫지🇰🇷 전세계 고양이 탐험,1107.0,18.45,https://www.youtube.com/watch?v=-qOGsTPB8f8,False,기타/엔터테인먼트
24,ICQFIRNk-P0,고양이 구경하다가 수의사 버튼 눌림,632.0,10.53,https://www.youtube.com/watch?v=ICQFIRNk-P0,False,건강/진료
25,efwPSJEZdIg,SUB) 밖에선 여주인 내가 집에선 집사?ㅣ고양식탁 김혜윤 편,1196.0,19.93,https://www.youtube.com/watch?v=efwPSJEZdIg,False,생활/돌봄
26,x7582LdLTzQ,'이 장소'를 잃으면 고양이의 스트레스가 시작됩니다,464.0,7.73,https://www.youtube.com/watch?v=x7582LdLTzQ,False,행동/감정
27,7KECg0C0a1E,말릴까 말까? 이건 노는걸까 싸우는걸까? 대체 사이가 좋은건지 나쁜건지…다묘집사 주목!,548.0,9.13,https://www.youtube.com/watch?v=7KECg0C0a1E,False,행동/감정;생활/돌봄
28,uGlHgf15AqA,월별로 '이거' 놓치면 병원비가 확 올라갑니다🐱🧨,630.0,10.5,https://www.youtube.com/watch?v=uGlHgf15AqA,False,건강/진료
29,mdwvt0qPIQE,연프출신 수의사가 말아주는 연애상담💘 회사상사에게 고백 할말?/고양이를 반대하는 예랑이/애인있는 사람을 좋아해요/불법도박 남친 사연,1818.0,30.3,https://www.youtube.com/watch?v=mdwvt0qPIQE,False,행동/감정;건강/진료
30,iWSeVz-1tyg,딸아 고양이 별 거 없다,477.0,7.95,https://www.youtube.com/watch?v=iWSeVz-1tyg,False,기타/엔터테인먼트
31,uDpySxHdjng,보호소 고양이의 삶은 달라질수 있을까?,693.0,11.55,https://www.youtube.com/watch?v=uDpySxHdjng,False,기타/엔터테인먼트
32,c4rDfDLFoGg,가족 중 단 한 사람만 따르는 고양이가 결국에 힘들어지는 이유,425.0,7.08,https://www.youtube.com/watch?v=c4rDfDLFoGg,False,브이로그/서사
33,rQeHzv7NE1A,집사 부재 Yes? No? 고양이 상태별로 다릅니다,274.0,4.57,https://www.youtube.com/watch?v=rQeHzv7NE1A,False,생활/돌봄
34,pH9gwrTzyeg,겨울이라 잠깐 커진거 맞아요? 《뚱냥이 반성회》,804.0,13.4,https://www.youtube.com/watch?v=pH9gwrTzyeg,False,기타/엔터테인먼트
35,dd3O1yd1EaU,고양이 혼자 있을 때 진짜 위험한건 몇 박일까?ㅣ집사메이커 lv.15,206.0,3.43,https://www.youtube.com/watch?v=dd3O1yd1EaU,False,생활/돌봄
36,HhPN8V9sj0Y,구조된 야생 바다 아깽이의 충격적인 변화,691.0,11.52,https://www.youtube.com/watch?v=HhPN8V9sj0Y,False,건강/진료
37,FzKvvBD_O2g,고양이가 사람을 순위 매기는 기준(테스트 포함),412.0,6.87,https://www.youtube.com/watch?v=FzKvvBD_O2g,False,기타/엔터테인먼트
38,lzaO3_xXhC0,고양이는 왜 이렇게 양심이 없을까?,431.0,7.18,https://www.youtube.com/watch?v=lzaO3_xXhC0,False,기타/엔터테인먼트
39,fF9M9TvSl8Y,전기장판 틀어줘도 괜찮나요? 겨울에 고양이 케어 어떻게 해요?,415.0,6.92,https://www.youtube.com/watch?v=fF9M9TvSl8Y,False,기타/엔터테인먼트
40,L51rIushlRs,1가정 1고양이 필수😼수의사의 ‘야무진 고양이는 오늘도 우울’ 리뷰,511.0,8.52,https://www.youtube.com/watch?v=L51rIushlRs,False,건강/진료
